1,Eastern Cape,eastern-cape,l3100197
2,Free State,free-state,l3100236
3,Gauteng,gauteng,l3100003
4,KwaZulu-Natal,kwazulu+natal,l3100002
5,Limpopo,limpopo,l3100223
6,Mpumalanga,mpumalanga,l3100227
7,Northern Cape,northern-cape,l3100213
8,North West,north-west,l3100231
9,Western Cape,western-cape,l3100001
