125,Diepsloot,diepsloot,l3100338,3,85
126,Bram Fischerville,bram-fischerville,l3100753,3,85
127,Meadowlands,meadowlands,l3100350,3,85
128,Dobsonville,dobsonville,l3100339,3,85
129,Pretoria / Tshwane,pretoria-tshwane,l3100094,3,
130,Centurion,centurion,l3100247,3,129
131,Northern Pretoria,northern-pretoria,l3100248,3,129
132,Eastern Pretoria,eastern-pretoria,l3100249,3,129
133,Pretoria West,pretoria-west,l3100755,3,129
134,City Centre,city-centre,l3100131,3,129
135,Menlyn Park,menlyn-park,l3100367,3,129
136,Sunnyside  Arcadia,sunnyside-arcadia,l3100135,3,129
137,Hatfield,hatfield,l3100134,3,129
138,Mamelodi,mamelodi,l3100366,3,129
139,Brooklyn,brooklyn,l3100133,3,129
140,Arcadia,arcadia,l3100365,3,129
141,Bronkhorstspruit,bronkhorstspruit,l3100257,3,129
142,GaRankuwa,garankuwa,l3100694,3,129
143,Sedibeng,sedibeng,l3100095,3,
144,Evaton,evaton,l3100378,3,143
145,Heidelberg,heidelberg,l3100379,3,143
146,Meyerton,meyerton,l3100593,3,143
147,Orange Farm,orange-farm,l3100592,3,143
148,Vanderbijlpark,vanderbijlpark,l3100380,3,143
149,Vereeniging,vereeniging,l3100381,3,143
150,West Rand,west-rand,l3100251,3,
151,Carletonville,carletonville,l3100382,3,150
152,Kagiso,kagiso,l3100383,3,150
153,Krugersdorp,krugersdorp,l3100384,3,150
154,Randfontein,randfontein,l3100385,3,150
155,Westonaria,westonaria,l3100386,3,150
156,Durban City,durban-city,l3100149,4,
157,Berea  Musgrave,berea-musgrave,l3100153,4,156
158,Chatsworth,chatsworth,l3100421,4,156
159,Morningside,morningside,l3100156,4,156
160,Greyville,greyville,l3100152,4,156
161,Golden Mile,golden-mile,l3100151,4,156
162,Umlazi,umlazi,l3100428,4,156
163,Clare Hills,clare-hills,l3100756,4,156
164,Umbilo,umbilo,l3100757,4,156
165,Point  Harbour,point-harbour,l3100155,4,156
166,KwaMashu,kwamashu,l3100425,4,156
167,Inanda,inanda,l3100424,4,156
168,North Suburbs,north-suburbs,l3100158,4,
169,Durban North,durban-north,l3100159,4,168
170,Umhlanga,umhlanga,l3100164,4,168
171,Phoenix,phoenix,l3100426,4,168
172,Mount Edgecombe,mount-edgecombe,l3100162,4,168
173,Verulam,verulam,l3100430,4,168
174,Newlands,newlands,l3100760,4,168
175,Tongaat,tongaat,l3100429,4,168
176,Umdloti Beach,umdloti-beach,l3100163,4,168
177,West Suburbs,west-suburbs,l3100172,4,
178,Pinetown,pinetown,l3100177,4,177
179,Queensburgh,queensburgh,l3100528,4,177
180,Westville,westville,l3100179,4,177
181,Hillcrest,hillcrest,l3100175,4,177
182,Kloof,kloof,l3100176,4,177
183,New Germany,new-germany,l3100435,4,177
184,Gillitts,gillitts,l3100174,4,177
185,Waterfall,waterfall,l3100436,4,177
186,Reservoir Hills,reservoir-hills,l3100533,4,177
187,Drummond,drummond,l3100434,4,177
188,Midlands,midlands,l3100184,4,
189,Estcourt,estcourt,l3100447,4,188
190,Greytown,greytown,l3100448,4,188
191,Howick,howick,l3100449,4,188
192,Kokstad,kokstad,l3100450,4,188
193,Pietermaritzburg,pietermaritzburg,l3100451,4,188
194,Richmond,richmond,l3100452,4,188
195,South Suburbs,south-suburbs,l3100166,4,
196,Bluff,bluff,l3100591,4,195
197,Amanzimtoti,amanzimtoti,l3100262,4,195
198,Glenwood,glenwood,l3100537,4,195
199,Isipingo Beach,isipingo-beach,l3100170,4,195
200,South Beach,south-beach,l3100432,4,195
201,Kingsborough,kingsborough,l3100431,4,195
202,Glenmore,glenmore,l3100538,4,195
203,Umkomaas,umkomaas,l3100433,4,195
204,North Coast,north-coast,l3100181,4,
205,Ballitoville,ballitoville,l3100437,4,204
206,Richards Bay,richards-bay,l3100440,4,204
207,Empangeni,empangeni,l3100438,4,204
208,Stanger,stanger,l3100441,4,204
209,Ilembe (Dolphin Coast),ilembe-dolphin-coast,l3100271,4,204
210,Eshowe,eshowe,l3100439,4,204
211,Umkhanyakude,umkhanyakude,l3100272,4,204
212,Uthungulu/Richards Bay,uthungulu-richards-bay,l3100273,4,204
213,South Coast (Ugu),south-coast-ugu,l3100182,4,
214,Margate,margate,l3100442,4,213
215,Port Shepstone,port-shepstone,l3100443,4,213
216,Scottburgh,scottburgh,l3100445,4,213
217,Hibiscus Coast,hibiscus-coast,l3100264,4,213
218,Port Edward,port-edward,l3100444,4,213
219,Umdoni,umdoni,l3100265,4,213
220,Umzumbe,umzumbe,l3100446,4,213
221,Drakensberg,drakensberg,l3100185,4,
222,Amajuba - Newcastle,amajuba-+-newcastle,l3100268,4,221
223,Ulundi,ulundi,l3100453,4,221
224,Umzinyathi - Dundee,umzinyathi-+-dundee,l3100269,4,221
225,Uthukela - Ladysmith,uthukela-+-ladysmith,l3100267,4,221
226,Vryheid,vryheid,l3100454,4,221
227,Zululand,zululand,l3100270,4,221
228,Polokwane / Pietersburg,polokwane-pietersburg,l3100226,5,
229,Bela-Bela / Warmbad,bela+bela-warmbad,l3100677,5,
230,Other Limpopo,other-limpopo,l3100567,5,
231,Lephalale / Ellisras,lephalale-ellisras,l3100680,5,
232,Tzaneen,tzaneen,l3100388,5,
233,Modimolle / Nylstroom,modimolle-nylstroom,l3100225,5,
234,Mokopane / Potgietersrus,mokopane-potgietersrus,l3100685,5,
235,Louis Trichardt,louis-trichardt,l3100389,5,
236,Phalaborwa,phalaborwa,l3100387,5,
237,Thohoyandou,thohoyandou,l3100690,5,
238,Hoedspruit,hoedspruit,l3100706,5,
239,Thabazimbi,thabazimbi,l3100689,5,
240,Musina / Messina,musina-messina,l3100224,5,
